"entity","year","category","share","labels"
"United States",1964,"share_services",0.628432195279949,"Services"
"United States",1965,"share_agri_man",0.372784269022514,"Agriculture & manufacturing"
"United States",1965,"share_services",0.627215730977487,"Services"
"United States",1966,"share_agri_man",0.370366836157422,"Agriculture & manufacturing"
"United States",1966,"share_services",0.629633163842578,"Services"
"United States",1967,"share_agri_man",0.362550701509409,"Agriculture & manufacturing"
"United States",1967,"share_services",0.637449298490591,"Services"
"United States",1968,"share_agri_man",0.359098584231718,"Agriculture & manufacturing"
"United States",1968,"share_services",0.640901415768282,"Services"
"United States",1969,"share_agri_man",0.356376442569579,"Agriculture & manufacturing"
"United States",1969,"share_services",0.643623557430421,"Services"
"United States",1970,"share_agri_man",0.345957468535396,"Agriculture & manufacturing"
"United States",1970,"share_services",0.654042531464604,"Services"
"United States",1971,"share_agri_man",0.336880023587627,"Agriculture & manufacturing"
"United States",1971,"share_services",0.663119976412373,"Services"
"United States",1972,"share_agri_man",0.338537952432784,"Agriculture & manufacturing"
"United States",1972,"share_services",0.661462047567216,"Services"
"United States",1973,"share_agri_man",0.342169021517499,"Agriculture & manufacturing"
"United States",1973,"share_services",0.6578309784825,"Services"
"United States",1974,"share_agri_man",0.337418821584603,"Agriculture & manufacturing"
"United States",1974,"share_services",0.662581178415397,"Services"
"United States",1975,"share_agri_man",0.317271159250727,"Agriculture & manufacturing"
"United States",1975,"share_services",0.682728840749273,"Services"
"United States",1976,"share_agri_man",0.319598272949127,"Agriculture & manufacturing"
"United States",1976,"share_services",0.680401727050873,"Services"
"United States",1977,"share_agri_man",0.320052608902696,"Agriculture & manufacturing"
"United States",1977,"share_services",0.679947391097304,"Services"
"United States",1978,"share_agri_man",0.321310626173671,"Agriculture & manufacturing"
"United States",1978,"share_services",0.678689373826329,"Services"
"United States",1979,"share_agri_man",0.32084103656817,"Agriculture & manufacturing"
"United States",1979,"share_services",0.67915896343183,"Services"
"United States",1980,"share_agri_man",0.311853520186854,"Agriculture & manufacturing"
"United States",1980,"share_services",0.688146479813146,"Services"
"United States",1981,"share_agri_man",0.307534168741413,"Agriculture & manufacturing"
"United States",1981,"share_services",0.692465831258587,"Services"
"United States",1982,"share_agri_man",0.292781199898743,"Agriculture & manufacturing"
"United States",1982,"share_services",0.707218800101257,"Services"
"United States",1983,"share_agri_man",0.286631463376379,"Agriculture & manufacturing"
"United States",1983,"share_services",0.713368536623621,"Services"
"United States",1984,"share_agri_man",0.287814769310679,"Agriculture & manufacturing"
"United States",1984,"share_services",0.712185230689321,"Services"
"United States",1985,"share_agri_man",0.280858379159789,"Agriculture & manufacturing"
"United States",1985,"share_services",0.719141620840211,"Services"
"United States",1991,"share_agri_man",0.245173036750233,"Agriculture & manufacturing"
"United States",1991,"share_services",0.754826963249767,"Services"
"United States",1992,"share_agri_man",0.240584547339518,"Agriculture & manufacturing"
"United States",1992,"share_services",0.759415452660482,"Services"
"United States",1993,"share_agri_man",0.238230232609002,"Agriculture & manufacturing"
"United States",1993,"share_services",0.761769767390998,"Services"
"United States",1994,"share_agri_man",0.237552672787338,"Agriculture & manufacturing"
"United States",1994,"share_services",0.762447327212662,"Services"
"United States",1995,"share_agri_man",0.235473059221098,"Agriculture & manufacturing"
"United States",1995,"share_services",0.764526940778902,"Services"
"United States",1996,"share_agri_man",0.233102017946969,"Agriculture & manufacturing"
"United States",1996,"share_services",0.766897982053031,"Services"
"United States",1997,"share_agri_man",0.231566416704841,"Agriculture & manufacturing"
"United States",1997,"share_services",0.768433583295159,"Services"
"United States",1998,"share_agri_man",0.230044641101185,"Agriculture & manufacturing"
"United States",1998,"share_services",0.769955358898815,"Services"
"United States",1999,"share_agri_man",0.226397088644312,"Agriculture & manufacturing"
"United States",1999,"share_services",0.773602911355688,"Services"
"United States",2000,"share_agri_man",0.22328313632072,"Agriculture & manufacturing"
"United States",2000,"share_services",0.77671686367928,"Services"
"United States",2001,"share_agri_man",0.207384066071277,"Agriculture & manufacturing"
"United States",2001,"share_services",0.792615933928723,"Services"
"United States",2002,"share_agri_man",0.199359391129851,"Agriculture & manufacturing"
"United States",2002,"share_services",0.800640608870149,"Services"
"United States",2003,"share_agri_man",0.194436944429204,"Agriculture & manufacturing"
"United States",2003,"share_services",0.805563055570796,"Services"
"United States",2004,"share_agri_man",0.194056621337675,"Agriculture & manufacturing"
"United States",2004,"share_services",0.805943378662325,"Services"
"United States",2005,"share_agri_man",0.192295200981762,"Agriculture & manufacturing"
"United States",2005,"share_services",0.807704799018238,"Services"
"United States",2006,"share_agri_man",0.191746784484651,"Agriculture & manufacturing"
"United States",2006,"share_services",0.808253215515349,"Services"
"United States",2007,"share_agri_man",0.187231876094126,"Agriculture & manufacturing"
"United States",2007,"share_services",0.812768123905874,"Services"
"United States",2008,"share_agri_man",0.182140088085582,"Agriculture & manufacturing"
"United States",2008,"share_services",0.817859911914418,"Services"
"United States",2009,"share_agri_man",0.168691887530859,"Agriculture & manufacturing"
"United States",2009,"share_services",0.831308112469141,"Services"
"United States",2010,"share_agri_man",0.164977457221464,"Agriculture & manufacturing"
"United States",2010,"share_services",0.835022542778536,"Services"
"United States",2011,"share_agri_man",0.164804293443832,"Agriculture & manufacturing"
"United States",2011,"share_services",0.835195706556168,"Services"
"United States",2012,"share_agri_man",0.163686663095727,"Agriculture & manufacturing"
"United States",2012,"share_services",0.836313336904273,"Services"
"United States",2013,"share_agri_man",0.162932360813914,"Agriculture & manufacturing"
"United States",2013,"share_services",0.837067639186086,"Services"
"United States",2014,"share_agri_man",0.163295146200372,"Agriculture & manufacturing"
"United States",2014,"share_services",0.836704853799628,"Services"
"United States",2015,"share_agri_man",0.164776561741464,"Agriculture & manufacturing"
"United States",2015,"share_services",0.835223438258536,"Services"
