"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Armenia","ARM","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18327906064.3003","16183541332.9899","9418820611.43951","8589964511.29035","9053822833.63031","9678536466.07655","10246221416.4922","10586506596.0205","11359321576.2289","11734179188.3105","12426495760.7871","13619439353.7327","15417205348.1442","17575614097.1234","19421053577.114","22120580024.1606","25040496587.2317","28471044620.0698","30435546698.9769","26144134614.2082","26719305575.777","27975112937.4842","29989321069.253","30978968664.5384","32094211536.6445","33121226305.4854","33187468758.0387","35676528915.4363","37531708418.9153","40384118258.2046","37476461743.9344","39612620062.8291","44603810190.7455",
"American Samoa","ASM","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","966660878.498707","987701012.340387","999143283.533761","1051896837.02964","1122128907.86638","1073208717.58486","1144088355.05811","1206688390.53595","1263778327.75848","1310634399.38612","1391938703.33822","1328633282.77418","1342284218.74565","1423848705.72136","1505962467.96911","1603455937.83402","1807225500.07155","1975575480.02984","1975292169.62637","1738993947.59403","1602646479.53838","1571256843.20244","1624253234.18701","1614493479.87958","1675775254.70452","1739878569.87427","1835510285.65921","1893230443.98334","2022419987.96754","2110275122.26937","1740930865.6586","1855047139.80899","2011960630.41888",
"Australia","AUS","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","529123069148.475","527096147392.417","529355384619.606","550780648215.098","572706803633.267","594968525843.069","617915517233.588","642093534784.624","671715601127.4","705008006077.568","732511576576.46","747465194904.733","777315889171.479","801501281816.837","835297651545.648","861640873871.273","885255311297.898","918699520272.853","951481199941.249","969278531721.698","990666305254.389","1014356951989","1053937239439.54","1081115691197.09","1108997849871.16","1132871644781.43","1163805248731.07","1190365421747.98","1224684193991.24","1251276940341.42","1250640223864.98","1278607196123.75","1324861943935.35",
"Austria","AUT","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","287877610666.848","297785286478.443","304019494756.947","305621097436.388","312962480111.461","321312267538.717","328861608034.195","335746652652.378","347771169942.14","360139064725.604","372296358893.85","377013979923.414","383240569094.825","386848667609.275","397429443747.181","406348020084.216","420383450698.257","436052887762.183","442421107373.803","425765818911.111","433587535848.305","446260420568.48","449296979861.322","449411571762.946","452383408466.616","456972845319.882","466064032926.316","476590426691.819","488149581132.161","495556707144.377","463573633529.714","484697992882.052","508918072433.699",
"Azerbaijan","AZE","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54652854605.6186","54270284527.3544","42005200047.01","32301999374.3051","25938505097.0468","22877761727.0493","23175172493.2955","24519332532.1961","26971265690.1671","28967139701.7542","32182491960.5264","35368558621.2804","38706967255.1185","42658290361.3658","46605804001.5187","59637503648.0424","80212442406.6171","100265552889.211","111053101726.768","121377002012.806","127505259496.577","127632764931.807","130396319940.942","137972086435.698","141767018076.399","143317915111.376","138875059914.371","139152809949.428","141240102098.67","144771104746.385","138545947094.179","146327312364.737","153082546341.841",
"Burundi","BDI","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6444307233.87216","6766318726.55031","6834658435.46489","6408175748.99685","6162742618.05389","5674653402.47306","5220681130.39206","5137672300.58284","5381711734.60858","5327356446.2775","5281708243.6252","5390289977.14009","5629970267.35008","5561074747.03563","5829878068.53526","5882346971.20465","6200805891.82039","6414854521.74831","6726726553.9595","6983199508.95156","7341029824.51826","7637064192.37346","7976662009.32705","8369447994.2156","8724367008.49515","8384116688.14199","8333811911.79175","8375481076.5592","8510320913.11309","8664576038.94662","8692922796.67592","8962403403.26041","9128118242.09647",
"Belgium","BEL","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","353910993696.706","360398445086.651","365914901703.961","362395263927.975","374089655902.479","383010786203.891","388072085801.765","402794212092.751","410696262264.66","425246177251.417","441051214253.456","445901096710.163","453512113792.175","458219490391.071","474583444734.03","485602024421.712","497996287418.469","516307018968.288","518614543398.304","508134675995.647","522689140465.188","531546180596.913","535475461831.324","537934591084.72","546426066893.871","557581131065.091","564643935471.557","573788797293.568","584076515952.734","597285805409.521","565255840906.087","600787435262.179","620300033117.038",
"Benin","BEN","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10829251969.552","11286874436.5493","11620707543.812","12298912033.5651","12547399307.3432","13305914520.933","13881300057.7825","14677349358.5246","15258720948.2003","16073757802.47","17015312596.6121","17922762308.1962","18754921695.056","19400761822.8883","20260154372.6862","20607244157.9321","21419940047.2018","22702212482.9423","23813843817.0103","24366156424.6825","24881272742.8566","25618692190.0679","26851264681.8907","28782255584.8599","30612139032.0882","31156469106.8687","32196993426.2032","34023063767.8647","36301676624.9392","38794036239.5523","40287138158.1103","43169864848.4734","45869382226.4971",
"Burkina Faso","BFA","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8965578966.71655","9778755585.63689","9801511802.25928","10140779855.6219","10274131848.1712","10861439635.759","12057799392.1846","12819470652.4471","13756281626.4151","14773591365.2802","15052586780.6907","16048075419.6757","16746642338.0862","18053298083.0785","18861806396.8256","20495592155.5072","21777215286.8077","22672559146.7304","23987565704.7263","24698065613.0907","26784133778.8634","28557929808.7362","30400679457.6706","32161664608.7426","33553250183.4258","34868949890.8718","36946433803.5338","39238401912.359","41829929267.8886","44209263811.574","45062646234.4256","48174826550.4405","48887477068.0538",
"Bangladesh","BGD","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","185404967819.375","191866753330.019","202309457388.127","211841392347.551","220082290364.602","231353316056.791","241817239647.53","252674583421.121","265755614506.452","278166817262.825","292891006710.801","307761925989.386","319558822052.481","334704527805.124","352241481691.733","375263790993.624","400301034556.576","428556680809.182","454329178591.34","477250652625.34","503842048117.849","536412308288.868","571394215867.741","605755610765.035","642470817903.494","684569616926.987","733266327481.642","781590411613.399","838798238917.004","904911533749.695","936113115340.722","1001067000655.87","1072141043632.99",
"Bulgaria","BGR","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109045991051.551","99836669779.8439","92576159820.6729","91205833751.5426","92863966146.5556","95515279743.2379","100487224227.702","86303069610.753","89573198265.4851","82052550883.2892","85816486290.8768","89097854421.5745","94329618312.2623","99269805952.8237","105732693585.663","113193559894.169","120893652980.189","128862214056.232","136743450216.716","132269403788.868","134308735365.232","137130838235.603","138166080601.995","137391668057.746","138720065549.218","143475465572.318","147836869040.086","151920376104.312","155999074485.488","162298538952.829","155873765297.328","167774118926.931","173413431116.091",
"Bahrain","BHR","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19143294359.5147","21293086082.5424","22717593193.6643","25641348952.8748","25577245199.8358","26582428773.7152","27674968221.8626","28530954929.9429","29897588466.6886","31183184459.9341","32835915082.0051","33653840687.5828","34780756594.7147","36970706753.4516","39551617223.3436","42228865351.1674","44959806124.9449","48688754662.264","51729372637.1175","53043239697.4314","55342292396.8801","56440015074.3357","58544160034.475","61715403401.7232","64400264665.9136","66000855034.9501","68349250016.7145","71282082008.2729","72786939763.3731","74364207031.5634","70910259290.2113","72803356661.944","76342224646.3432",
"Bahamas, The","BHS","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9656325975.77717","9252519205.72799","8898556499.26155","8925946816.0139","9207017349.53429","9610169814.1974","10016058260.2234","10704736326.3601","10222638182.7398","11469546344.3258","11945444666.1403","12259031653.0785","12590598123.2537","12431386699.2802","12541123545.2432","12966927306.8667","13293285926.7249","13485604399.1414","13172265405.0754","12622217214.4633","12816395633.4215","12895009373.9193","13293062733.1399","12912443272.8372","13150975216.9942","13282064249.2564","13273163560.1349","13593751984.1175","13802176454.3792","13699491298.2643","10478990730.714","12258812231.5023","14020276060.9776",
"Bosnia and Herzegovina","BIH","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6509292456.15361","7863225127.02612","14858166686.7657","19967826922.2342","23082807260.2537","25298756691.7805","28528261750.4952","29219590875.1834","30688589504.0462","31875359854.4366","33891561207.4335","35212375671.2505","37118774947.4535","39292868492.792","41431905862.1486","40187102509.5059","40534989902.5107","40923927689.6934","40587599925.2573","41541350346.5526","42020675671.1595","43833763031.4958","45254965497.8771","46723082267.5412","48511407870.1019","49912098776.3922","48407201508.1205","51985293689.3554","54011060638.7809",
"Belarus","BLR","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90636004771.2497","89548376728.7525","80951731312.7174","74799398241.6493","66047865732.0298","59178887371.2738","60835898969.8069","67771194740.7611","73463969284.4332","75961743625.3793","80367527368.7919","84165138956.6786","88411495341.9751","94638487202.9779","105474350866.552","115388941454.991","126927829614.658","137843631257.837","151903680873.582","152207481111.07","164077026612.218","172902249866.035","175819345166.81","177583641028.143","180649107524.278","173730855365.87","169342706853.966","173629826921.652","179098540532.584","181688675573.478","180466084980.405","184867411115.468","176183357453.771",
"Belize","BLZ","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1167930669.86615","1301692363.07726","1458384632.26741","1549342583.65097","1552399993.78151","1562336576.70576","1578387979.89109","1634950067.30608","1699155680.04741","1851261834.04176","2092032881.82175","2197513531.32537","2309873353.6227","2525420767.82575","2642366705.31889","2700457497.79914","2824282608.086","2916769264.53482","2872436817.642","2859442824.58721","2895367393.62105","2892309983.49051","3003905453.2552","3139960204.06422","3268371429.54688","3378438194.24631","3382259956.90948","3324933516.96187","3361622438.52834","3512964239.99006","3042123079.88695","3505167844.15718","3930300722.80872",
